raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
51,高天良山,たかでらやま,908,9521,
52,屛風山,びょうぶやま,794,9470,
53,ロクロ天井,ろくろてんじょう,1471,21238,
54,焼山,やけやま,1709,1344,
55,恵那山,えなさん,2190,574,
56,富士見台,ふじみだい,1723,18187,
57,南沢山,みなみさわやま,1564,1396,標高を修正
58,笠置山,かさぎやま,1128,9495,
59,二ッ森山,ふたつもりやま,1223,553,
60,尾城山,おしろやま,1133,552,
61,雨乞棚山,あまごいたなやま,1391,9526,
62,三界山,さんかいやま,1600,19447,
63,奥三界山,おくさんがいさん,1811,551,
64,井出ノ小路山,いでのこうじやま,1840,14886,
65,高樽山,たかたるやま,1673,9525,
66,高時山,たかときやま,1563,9523,
67,唐塩山,からしおやま,1609,9541,
68,小秀山,こひでやま,1982,550,
69,三国山,さんごくさん,1611,9536,
70,拝殿山,はいでんやま,1402,9537,
71,白草山,しらくさやま,1640,9534,
72,寺田小屋山,てらだごやさん,1505,9532,
73,八尾山,はちおやま,1101,9530,
74,仏ヶ尾山,ほとけがおやま,1139,9542,
75,御前山,ごぜんやま,1646,9545,
76,若栃山,わかとちやま,1593,9544,
77,御嶽山,おんたけさん,3063,549,
78,六郎洞山,ろくろうぼらやま,1479,9590,
79,船山,ふなやま,1479,9582,
80,位山,くらいやま,1529,669,
81,川上岳,かおれだけ,1626,670,
82,鎌ヶ峰,かまがみね,2121,547,
83,乗鞍岳,のりくらだけ,3026,546,
84,日影平山,ひかげだいらやま,1595,9607,
85,十二ヶ岳,じゅうにがたけ,1327,9613,
86,見量山,みはかやま,997,9598,
87-1,大雨見山,おおあまみやま,1336,668,
87-2,国見山,くにみやま,1318,9612,
88,焼岳,やけだけ,2458,542,
89,錫杖岳,しゃくじょうだけ,2168,518,
90,西穂高岳,にしほだかだけ,2909,541,
91,奥穂高岳,ほだかだけ,3190,539,
92,北穂高岳,きたほだかだけ,3100,537,
93,槍ヶ岳,やりがたけ,3180,533,
94,奥丸山,おくまるやま,2440,2151,
95,笠ヶ岳,かさがたけ,2898,517,
96,双六岳,すごろくだけ,2860,513,
97,三俣蓮華岳,みつまたれんげだけ,2841,491,
98,黒部五郎岳,くろべごろうだけ,2840,512,
99,北ノ俣岳,きたのまただけ,2661,511,
100,寺地山,てらぢやま,1996,9633,
101,桑崎山,くわさきやま,1728,9626,
102,天蓋山,てんがいざん,1527,9625,
103,二十五山,にじゅうごやま,1153,9624,標高を修正
104,流葉山,ながれはやま,1423,9618,
105,猪臥山,いぶせやま,1519,9610,
106,蕎麦角山,そばかどやま,1222,7517,
107,白木峰,しらきみね,1602,662,
108,水無山,みずなしやま,1506,9614,
109,籾糠山,もみぬかやま,1744,7403,
110,猿ヶ馬場山,さるがばんばやま,1875,666,標高を修正
111,火山,ひやま,1379,9577,
112,日照岳,ひでりだけ,1751,9576,
113,別山,べつさん,2399,685,
114,三方崩山,さんぽうくずれやま,2059,681,
115,白山,はくさん,2702,683,
116-1,野谷荘司山,のたにしょうじさん,1797,7402,
116-2,妙法山,みょうほうやま,1776,7400,
117,三方岩岳,さんぽういわだけ,1736,680,
118,人形山,にんぎょうざん,1724,664,
119,オゾウゾ山,おぞうぞやま,1085,7457,
120,笈ヶ岳,おいずるがたけ,1841,679,
