raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
182,雲竜山,うんりゅうざん,460,7452,
183,天川山,てんがわやま,457,8203,
184,大峰,おおみね,453,7440,
185,久江原山,くえはらやま,452.4,27735,
186,梨笠山,なしがさやま,445.35,27944,
187,長坂山,ながさかやま,426.71,8206,
188,長崎山,ながさきやま,425,27945,
189,小富士山,こふじさん,424.83,8208,
190,河合山,かわいやま,417,7627,
191,猫ヶ岳,ねこがたけ,412.66,8222,
192,桑塚山,くわつかやま,409,7673,
193,水山,みずやま,404.77,8216,
194,松ヶ瀬山,まつがせやま,404,8217,
195,観音山,かんのんやま,402.25,7438,
196,岩坪山,いわつぼやま,400,8204,
197,河内岳,かわちだけ,398.55,7674,
198,宮野山,みやのやま,397.52,23953,
199,ごねんごろ山,ごねんごろやま,390.68,27946,
200,佐比野山,さびややま,387.83,8194,
201,猿矢山,さるややま,381,8201,
202,松尾山,まつおやま（七尾城山）,380.7,24404,
203,見平岳,けんだらだけ,378.21,8221,
204,瓶ノ森山,かめのもりやま,374.91,13822,
205,高野山,たかのやま,372.77,7436,
206,三蛇山,さんじゃやま,371.99,8190,
207,舞谷御前山,まいたにごぜんやま,367.78,8213,
208,別荘岳（三角点山）,べっそうだけ,366.98,27947,
209,鞍坪岳,くらつぼだけ,365.78,8220,
210,原御前,はらごぜん,359,18249,
211,別所岳,べっしょだけ,358.04,7675,
212,岩倉山,いわくらやま,356.98,8215,
213,百文山,ひゃくもんざん,355.62,8205,
214,風吹岳,かぜふきだけ,353.87,7676,
215,別荘岳,べっそうだけ,352,7678,
216,水無山,みずなしやま,348.5,7380,
217,烏ヶ山,からすがやま,344.38,8195,
218,気勝山,けかちやま,343.37,8198,
219,赤倉山,あかくらやま,342.41,27948,
220,焼山,やけやま,342,8202,
221,サビヤ山,さびややま,341.67,7679,
222,高爪山,たかつめやま,341,7672,
223,峨山,がざん,336.18,7685,
224,猿山,さるやま,332.54,7680,
225,蓮如山,れんにょさん,328,27949,
226,茅山,かややま,323.83,8189,
227,三国山,みくにやま,323.62,7630,
228,土平山,どへらやま,320,8196,
229,大丸山,おおまるやま,319.04,7684,
230,動坂山,どおざかやま,316,8191,
231,番場山,ばんばやま,313.83,8193,
232,松根城山,まつねじょうやま,308,23952,
233,大畑山,おおはたやま,302.97,7686,
234,八幡山,はちまんやま,302,8207,
235,坪野山,つぼのやま,300.76,7682,
236,城山（七尾城山）,じょうやま,300,7669,
237,雨池山,あまいけやま,300,8218,
238,城山,しろやま,296,26076,
239,岩倉山,いわくらやま,296,19029,
240,虫ヶ峰,むしがみね,295.88,7670,
241,鷹ノ巣山,たかのすやま,280.22,13817,
242,木原岳,きはらだけ,277.94,,
243,砺波山,となみやま,276.8,28636,
244,上野岳,うわのだけ,276.4,27950,
245,板ノ丹山,いたのたんやま,269.43,13570,
246,臼が峰,うすがみね,266,7657,
247,燒山,やきやま,265.16,23969,
248,梨ノ木平山,なしのきだいらやま,260.4,13502,
249,城ヶ山,じょうがやま,258.35,8209,
250,焼山,やけやま,258.17,7628,
251,虹岳,にじだけ,256.09,23983,
252,独活ヶ谷山,うどがたにやま（どがたにやま）,254.71,27951,
253,曽又山,そまたやま,254.53,7809,
254,御来迎山,ごらいごうやま,252.6,23954,
255,伊掛山,いかけやま,252.25,7791,
256,尾山（三国山）,おやま,252,27952,
257,菩提寺峯,ぼだいじみね,242.24,7629,
258,高塚山,たかつかやま,239.99,7683,
259,天笠山,てんがいやま,235.08,8211,
260,菅波山,すがなみやま,233.25,27736,
261,寺尾観音山,てらおかんのんやま,228.04,20063,
262,権殿山,ごんでんやま,228.04,7493,
263,国見山,くにみやま,223.23,7681,
264,梅木山,うめのきやま,205.12,13491,
265,爼倉山,まないたぐらやま,203.66,7810,
266,向山,むかいやま,200,8219,
267,鈴見岳,すずみだけ,199.53,27953,
268,四村塚山,よむらつかやま,196.82,7671,
269,城ヶ峰,じょうがみね,194.6,7507,
270,鷹巣山,たかのすやま,190.89,27954,
271,甲斐崎山,かいさきやま,190,7635,
272,焼山,やけやま,189.34,7813,
273,殿山,とやま,189,7632,
274,まきたん山,まきたんやま,188.14,27955,
275,眉丈山,びじょうざん,187.95,7659,
276,雷ヶ峰,らいがみね,187.95,24472,
277,城の峰,じょうのみね,187.17,7636,
278,山伏山,やまぶしやま,184,8225,
279,二子山,ふたごやま,181.26,7803,
280,鶴町山,つるのまちやま,180.79,7811,
281,赤蔵山,あかくらやま,179,7665,
282,舟岡山,ふなおかやま,178.74,7479,
283,満願寺山,まんがんじやま,176.59,7490,
284,野田山,のだやま,175.36,7489,
285,御前山,ごぜんやま,171,8212,
286,背窪山,せなくぼやま,169.86,8210,
287,白坂山,しろざかやま,169.17,7812,
288,シアミ山,しあみやま,166.66,8197,
289,高塚山,たかつかやま,161,7677,
290,天狗壁,てんぐかべ,150.6,27957,
291,茨町山,いばらまちやま,148.03,7814,
292,和田山,わだやま,148,8214,
293,遍照岳,へんしょうがだけ,146.66,7662,
294,高ツボリ山,たかつぼりやま,141.56,7664,
295,卯辰山,うたつやま,141.15,7492,
296,木尾岳,きおがだけ,140.89,27958,
297,高峰,たかむね,140,7622,
298,赤穂山,あかほやま,140,7410,
299,末森山,せいもりやま,138.83,7651,
300,虚空蔵山,こくぞうやま,137.74,7472,
301,天行寺山,てんぎょうじやま,137.58,7661,
302,矢波山,やなみやま,135.59,7815,
303,吉ヶ池山,よしがいけやま,122.9,7817,
304,台ノ峰,だいのみね,120.93,13501,
305,沖波山,おきなみやま,113.3,7806,
306,春日山,かすがやま,112,7488,
307,西出山,にしでやま,108.04,8192,
308,高倉山,たかくらやま,102,7820,
309,谷内山,やけちやま,101.64,7625,
310,石仏山,いしぼとけやま,100,27959,
311,堂上山,どうのうえやま,91.17,7805,
312,笠取山,かさとりやま,88.15,27960,
313,大山,おおやま,86.96,7412,
314,後藤山,ごとうやま,84.41,7668,
315,高瀬山,たかせやま,84,7819,
316,錦城山,きんじょうざん,82.2,7411,
317,立林山,たてばやしやま,81,7642,
318,下山,したやま,80.83,7804,
319,大円山,おおまるやま,71.84,27966,
320,鞍馬山,くらまやま,71.45,7666,
321,円山,まるやま,66.7,7807,
322,連光寺山,れんこうじやま,64.43,7816,
323,清水山,きよみずやま,63.47,20302,
324,大郷山,おおさとやま,63.11,7808,
325,国造山,こくぞうやま,63,7667,
326,丸山,まるやま,62.85,7620,
327,城山,じょうやま,61.7,19586,
328,天池山,あまいけやま,60,,
329,茶臼山,ちゃうすやま,58.44,7621,
330,天神山,てんじんやま,56.73,27961,
331,城山,じょうやま,53.76,7663,
332,中浜山,なかはまやま,50,7624,
333,権現森山,ごんげんもりやま,50,7626,
334,大平山,おおひらやま,47.39,7650,
335,和田山,わだやま,44.21,21259,
336,法皇山,ほうおうざん,43.8,27962,
337,鉢伏山,はちぶせやま,36.97,27963,
338,鳶山,とんびやま,33.18,7623,
339,日和山,ひよりやま,29,7818,
340,太田山,おおたやま,20.17,27965,
341,手塚山,てづかやま,14.71,27964,
