group_id,parent_name,parent_kana,child_id,child_name,relation_type,is_representative
103,二子山,ふたごやま,18031,上二子山,AREA_TO_PEAK,1
104,中山仙境,なかやませんきょう,18555,夷耶馬,AREA_TO_PEAK,1
105,大洞山,おおぼらやま,18716,雄岳,MAIN_TO_SUB_PEAK,1
105,大洞山,おおぼらやま,8808,雌岳,MAIN_TO_SUB_PEAK,0
106,桑谷山,くわたにやま,19197,西峰,MAIN_TO_SUB_PEAK,1
106,桑谷山,くわたにやま,28746,東峰,MAIN_TO_SUB_PEAK,0
107,トクマ山,とくまやま,19818,西峰,MAIN_TO_SUB_PEAK,0
107,トクマ山,とくまやま,28747,東峰,MAIN_TO_SUB_PEAK,1
108,深沢山,ふかざわやま,20635,東峰,MAIN_TO_SUB_PEAK,0
108,深沢山,ふかざわやま,28748,西峰,MAIN_TO_SUB_PEAK,1
109,室生山,むろうざん,21044,西峰,MAIN_TO_SUB_PEAK,1
109,室生山,むろうざん,28749,東峰,MAIN_TO_SUB_PEAK,0
110,月出山岳,かんとうだけ,23157,三番坊主,AREA_TO_PEAK,1
111,三ツ岳,みつだけ,28744,Ⅲ峰,MAIN_TO_SUB_PEAK,0
111,三ツ岳,みつだけ,18152,Ⅱ峰,MAIN_TO_SUB_PEAK,1
111,三ツ岳,みつだけ,28743,Ⅰ峰,MAIN_TO_SUB_PEAK,0
112,鳥居沢山,とりいざわやま,28751,南峰,MAIN_TO_SUB_PEAK,0
112,鳥居沢山,とりいざわやま,23248,北峰,MAIN_TO_SUB_PEAK,1
113,枯山,かれやま,28752,南峰,MAIN_TO_SUB_PEAK,1
113,枯山,かれやま,24079,北峰,MAIN_TO_SUB_PEAK,0
